iata_code,airline_name,region,functional_currency,ebit_usd,load_factor,low_cost_carrier,airline_age,num_routes,passenger_yield,ask,avg_fleet_age,fleet_size,aircraft_utilisation
ET,Ethiopian Airlines,Africa,ETB,1032026865.0,0.703,N,0.9382444594788184,-0.4615147309331061,0.6113325648174884,64498706000.0,8.8,154.0,
KQ,Kenya Airways,Africa,KES,76000000.0,0.784,N,-0.12349130160749495,-0.8274392504920637,0.7648273213517497,14804000000.0,13.5,40.0,
LA,LATAM Airlines,Latin America,USD,1078165000.0,0.831,N,1.5204866510422805,-0.4148009624787711,-0.04102015045312153,137000000000.0,11.48,333.0,
AV,Avianca,Latin America,USD,618544000.0,0.824,N,1.8287325171641133,-0.4186937765166323,-0.30963597438807827,54706000000.0,9.3,140.0,
AD,Azul Brazilian Airlines,Latin America,BRL,596840322.0,0.804,Y,-1.2194766033740119,-0.368087194024436,0.381090430016097,44006000000.0,7.4,183.0,10.0
OB,Boliviana de Aviacion,Latin America,BOB,,,N,,,,,,,
FO,Flybondi,Latin America,ARS,,,Y,,,,,,,
G3,GOL,Latin America,BRL,655050679.0,0.84,Y,-0.9454802779323827,-0.6911907591669199,-0.11776752872025217,10732000000.0,10.7,141.0,11.7
EK,Emirates,Middle East,AED,3778110389.0,0.795,N,-0.3974876270491242,-0.40701533440304855,0.4194641191496618,171500000000.0,9.1,260.0,
QR,Qatar Airways,Middle East,QAR,3256820032.0,0.8,N,-0.6714839524907534,-0.368087194024436,,209617000000.0,5.0,265.0,
SV,Saudia,Middle East,SAR,,,N,,,,,,,
FZ,Flydubai,Middle East,AED,,0.763,Y,-1.1852270626938082,-0.5160141274631636,,40292000000.0,4.5,84.0,
EY,Etihad,Middle East,AED,394000000.0,0.858,Y,-1.1509775220136047,-0.40701533440304855,,72500000000.0,7.9,85.0,
TK,Turkish Airlines,Middle East,TKL,3959000000.0,0.826,N,1.383488488321466,0.4260468696992592,-0.0026464613195562106,235000000000.0,9.3,440.0,
LY,El Al,Middle East,ILS,267300000.0,0.863,N,0.869745378118411,-0.7962967381891737,,25063000000.0,12.0,46.0,
WY,Oman Air,Middle East,OMR,-258420764.0,0.74,N,-0.6714839524907534,-0.8118679943406186,,,7.0,50.0,
KU,Kuwait Airways,Middle East,KWD,,0.71,N,,,,,,,
FR,Ryanair,Europe,EUR,1592200000.0,0.93,Y,-0.3632380863689205,-0.10337583944987096,-1.3073518918607758,222000000000.0,9.0,537.0,9.1
EI,Aer Lingus,Europe,EUR,241785000.0,0.81,N,-0.7057334931709571,-0.6016560362961111,-0.04102015045312153,31574200000.0,13.0,57.0,
BA,British Airways,Europe,GBP,1821880000.0,0.836,N,-0.020742679566883984,-0.21237463250998598,0.918322077886011,167695000000.0,13.0,284.0,10.03
IB,Iberia,Europe,EUR,,,N,,,,,,,
AF,Air France,Europe,EUR,,,N,,,,,,,
W6,Wizz Air,Europe,EUR,-485500000.0,0.878,Y,-1.01397935929279,3.123766997937106,-1.6910887831964287,97779087000.0,4.6,179.0,11.1
SK,Scandinavian Airlines,Europe,SEK,-268050000.0,0.754,N,0.9382444594788184,-0.5043356853495798,0.6113325648174884,39736000000.0,8.6,134.0,
LO,LOT Polish Airlines,Europe,PLN,286860000.0,,N,1.5204866510422805,-0.6016560362961111,,,11.0,76.0,
DE,Condor,Europe,EUR,,,N,,,,,,,
BT,Air Baltic,Europe,EUR,88623000.0,0.767,N,-0.7399830338511607,-0.5004428713117186,-0.07939383958668686,8213000000.0,3.1,46.0,6.9
U2,EasyJet,Europe,GBP,581000000.0,0.893,Y,-0.7399830338511607,2.9719472504605173,-1.1154834461929495,113334000000.0,9.3,336.0,
DY,Norwegian,Europe,NOK,202120000.0,0.847,Y,-0.6714839524907534,0.17690677127613913,-0.8852413113915576,32300000000.0,8.3,87.0,
N0,Norse Atlantic Airways,Europe,USD,-135223000.0,0.74,Y,-1.6304710915364558,-0.8936170891357049,-1.729462472329994,8672000000.0,6.0,10.0,
KL,KLM,Europe,EUR,1257000000.0,0.871,N,1.862982057844317,0.17690677127613913,0.4194641191496618,106336000000.0,12.0,238.0,
FB,Bulgaria Air,Europe,BGN,,,N,,,,,,,
LM,Loganair,Europe,GBP,11671000.0,0.628,N,0.39025180859555986,-0.81576080837848,,903004000.0,20.0,38.0,
OG,FlyPlay,Europe,USD,-20686000.0,0.83,Y,-1.5619720101760486,-0.6950835732047811,-1.84458353973069,5415000000.0,3.0,10.0,
KM,Air Malta,Europe,EUR,,,N,,,,,,,
OU,Croatia Airlines,Europe,EUR,4505000.0,0.653,N,-0.5344857897699388,-0.8196536224163412,2.645138088896449,1991000000.0,18.15,12.0,8.8
AZ,ITA Airways,Europe,EUR,,,N,,,,,,,
TP,TAP Air Portugal,Europe,EUR,426000000.0,0.808,N,0.972494000159022,-0.32915905364582354,0.07410091694757444,52797000000.0,10.0,98.0,
LS,Jet2.com,Europe,GBP,472000000.0,0.905,Y,-0.9797298186125863,0.8386851577125518,,,15.0,120.0,
LH,Lufthansa,Europe,EUR,2710000000.0,0.829,N,0.6984976747173928,0.5661881750622643,0.5345851865503578,300582000000.0,13.1,381.0,
EW,Eurowings,Europe,EUR,266000000.0,0.841,N,-0.6714839524907534,0.6440444558194893,0.5729588756839231,32121000000.0,12.0,100.0,
SN,Brussels Airlines,Europe,EUR,56000000.0,0.825,N,-1.116727981333401,-0.21237463250998598,0.7264536322181844,18118000000.0,17.0,44.0,
LX,SWISS,Europe,CHF,880000000.0,0.844,N,-0.9797298186125863,-0.13451835175276097,1.4939274148894903,55327000000.0,12.0,109.0,
H4,HiSky,Europe,MDL,,,Y,,,,,,,
AA,American Airlines,North America,USD,3069000000.0,0.835,N,1.6232352730828914,3.2911580015651403,1.4939274148894903,446951000000.0,12.9,965.0,
DL,Delta Air Lines,North America,USD,5521000000.0,0.85,N,1.5547361917224842,,1.5323011040230556,437701000000.0,14.8,958.0,
